Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
lenatheplugz,https://www.nitrotype.com/racer/lenatheplugz,Rei Sakura,Encore,78,260,99.00743143063345,37430,5339873.610427893,95.42433983786455,SPRME
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,371,0,88.8721061497681,31444,4434202.289247035,97.6342292199966,P1RE
unrealmaterialism,https://www.nitrotype.com/racer/unrealmaterialism,Zranci,Problem Solver,77,280,118.81455662899118,28007,4271278.412137075,95.67162321959205,NBX
jxsh0427,https://www.nitrotype.com/racer/jxsh0427,RMS Jxsh,Hot Hot Hot!,379,0,98.3743176962538,30150,3991239.9717165693,88.73380003787234,42712
nevercaredlol,https://www.nitrotype.com/racer/nevercaredlol,com boy,404 Not Found,78,180,84.99801058308742,29278,3979957.9980751467,95.39492032239185,NVSEAL
chill233,https://www.nitrotype.com/racer/chill233,gold 4 me 2 join,Mystery Man,165,60,85.70984672226818,29091,3954274.93462763,95.15092158210187,ZL
aydeniscool321,https://www.nitrotype.com/racer/aydeniscool321,DashZL,♪ So Delightful ♪,142,0,112.82147389796091,26666,3940773.3889715374,94.4837288900788,ZL
monsterslayr,https://www.nitrotype.com/racer/monsterslayr,Ntc gift sender,A E S T H E T I C,349,100,81.69780146908793,29177,3936034.797885953,95.77779446938091,ZL
godlypropaco,https://www.nitrotype.com/racer/godlypropaco,Nitro PACO,NITRO.EXE,310,0,167.32099056474473,21174,3886603.0660878406,99.94280381117446,CR7LEG
deperst2,https://www.nitrotype.com/racer/deperst2,StylishPurpleBadger,Number Cruncher,89,60,98.296302769282,27012,3876721.7008809373,96.22546299486972,SPRME
25tsmith6,https://www.nitrotype.com/racer/25tsmith6,x2                                                ,League Champion,371,0,96.20419478965601,27256,3818314.4213916333,94.59068232641447,ZL
smalltownfame,https://www.nitrotype.com/racer/smalltownfame,summrs,California Dreamin',77,200,102.04117883054082,26024,3785828.429323326,96.3275949002377,TVX
weslanea,https://www.nitrotype.com/racer/weslanea,truly broken 100k,Keyboard Smasher,105,260,95.64154751347193,26337,3730294.5581354345,95.81673141085274,SPRME
ilikedufibxx,https://www.nitrotype.com/racer/ilikedufibxx,dufibb,Big Spender,77,0,101.25511150170274,25148,3646199.657745794,96.25705394561815,TVX
darkiexgold,https://www.nitrotype.com/racer/darkiexgold,-2025-,Clutch Typer,198,0,100.05406983130639,24716,3513275.01107234,94.74677450196563,NXC
ttv_itscambria,https://www.nitrotype.com/racer/ttv_itscambria,ttv_itsCambria 20k,Keyboard Cat,310,0,77.03280569448931,25458,3391013.8902767417,96.16213163732061,IR
