Team,TotalPoints,Racers,Races
SPRME,48298279.17635643,45,338233
P1RE,24490823.993545223,39,179077
TVX,24351276.56179782,50,175568
PR2W,21605977.30281679,49,152225
ZL,19848606.69518589,44,142289
N8TE,19761117.040791158,47,139774
IR,19692222.633169822,43,146313
CAM0,19493218.05492502,50,137248
RR,19144471.583212133,33,130503
TXT,16575365.604307521,49,119419
CZBZ,15781411.24791322,45,114611
PSR,15750578.89291864,48,114736
NTPD1,15538881.918250084,50,113406
SSH,14213050.248127323,41,100613
WP,13489743.236889577,50,95117
NCT,12265682.980087837,47,89182
BEEHVE,11647454.73839434,50,87041
LXW,11501212.43408335,7,81202
FFS,11023639.745578852,47,80801
S0RC,9124907.546775054,40,64413
TCHR,7680787.922163841,42,58160
NVSEAL,7551679.327238578,50,56086
NZV,7321475.307171077,40,47462
CR7LEG,7292066.122250399,14,41350
WD5,6884939.196905098,26,49830
CHONT,6308843.24717399,5,39507
LEGNDS,6228223.296895939,43,45395
DIV1,6092697.463556707,31,41800
TFV,5936610.143913695,34,39971
COMP5,5920761.912612782,36,42349
RFTP,5840358.49134673,38,47601
QC,5826685.950126433,1,43107
NTO,5800627.100140052,50,45357
NXC,5644284.128799568,30,37800
LOVGOD,5437987.998639053,38,38698
42712,5270460.100894258,38,39674
TVM,5159327.345386977,32,37682
FASZ,5150901.999005683,21,36945
4CU,5100802.754117363,32,30904
0CE8N,5095911.918383961,50,39590
FTHM,4718501.066943735,30,35084
RI5E,4638180.494555819,47,35444
DKC,4606533.300472882,43,35898
ZH,4443675.3905966375,46,32690
ZTAGZ,4312452.262628124,36,29861
VG,4281611.458885382,43,30862
AMPX,4273605.632024113,44,32659
RZ,4240619.599971488,47,33315
BKYS,4007462.1625085324,42,29935
WPMWPM,3847356.7065853244,26,31079
L3JENS,3843547.4704833166,10,26142
USAAT,3833100.8234581933,38,29902
LLJ4R,3799159.1061564027,28,31364
ERC,3786458.275389832,24,26158
NTPTS,3780482.206913733,49,29197
T3X5,3480632.4087501382,15,24651
NTP444,3447613.571910743,47,28255
DLX,3432104.221880257,45,28314
MEYBO,3408799.6573097496,25,24298
NHS,3390757.563485518,45,26498
MMM0,3384715.75110141,18,19856
190IQ,3310800.343815176,10,23665
NS7,3249003.8536501955,47,23985
A3,3247121.479088658,27,23737
RL,3208589.2726186924,14,23440
CAT4,3111202.798136044,44,26402
HYP3Z,2999059.4972718176,49,24736
FAM3,2979481.527799433,42,23325
F0J,2968228.1926555145,39,21870
SAIL,2939352.027811984,41,23406
HFE,2927183.8780237427,20,19695
HELIUM,2877950.3545415443,49,24054
XLUVX,2823605.744552671,41,22505
ZSH,2815655.7971098884,41,23170
AL3,2815189.17486914,34,21283
T0WER,2781042.9743054826,40,18553
50I,2721362.4946820987,21,19763
1STRED,2611351.420694884,43,20643
BRAVE,2610788.7318290453,38,19814
C0NQUE,2572846.987192311,34,18804
FERAL,2521786.245747518,42,18879
TWO,2506851.802851416,33,17705
RL1,2464145.7064000154,40,17849
P20W,2420647.6731812004,40,17327
BEGO0D,2367058.163524285,50,17877
VTU,2316271.129016998,46,16442
OVCR,2291110.133463158,22,19769
EXTRME,2285327.7497594296,37,15311
NGREEN,2232865.031530847,41,17844
LE4GUE,2208444.950502863,47,17549
4EP,2183819.07447177,38,16898
RVNT,2072660.8765371938,17,17398
SSNAKS,2025423.026663737,47,16983
GLXM,2018435.7039495225,6,13548
DDFR,1992808.8003111894,31,13090
DUCCK,1966722.5398546758,43,15158
XMVP,1931132.0219682422,43,15417
911000,1930618.7475335754,39,15721
ALFJ,1891441.9064216288,45,15381
ASPN,1887570.6716951057,37,15622
BPR,1866786.1820631,38,13819
